IDX,X,Y,TYPE,SPEED,DirType,Direction,Distance,Angle // 21.08.2020_OpenSpeedcam =>> 7 Ways v 2.0
72,27.571805,53.910946,210,30,1,320,150,15
73,27.572106,53.910819,210,30,1,141,150,15
74,27.573993,53.909435,210,30,2,138,100,25
75,27.579997,53.905058,210,30,2,141,200,15
76,27.585082,53.900049,210,30,2,152,200,15
77,27.586584,53.898357,210,30,2,151,200,15
78,27.588027,53.896792,210,30,1,152,200,15
79,27.589164,53.895458,210,30,1,332,200,15
80,27.589685,53.89505,210,30,1,153,200,15
81,27.588826,53.89299,210,30,2,55,200,15
82,27.583687,53.893098,210,30,1,154,200,15
83,27.583398,53.893497,210,30,1,337,200,15
84,27.580276,53.89659,210,30,2,138,200,25
85,27.575437,53.899206,210,30,2,133,150,15
86,27.55663,53.934566,210,20,2,90,100,20
87,27.557535,53.934564,210,20,2,90,100,15
88,27.558807,53.893288,210,30,1,64,150,15
89,27.558716,53.893126,210,30,1,236,150,15
90,27.556414,53.890021,211,30,2,114,200,15
91,27.561956,53.90516,210,30,2,52,150,20
92,27.541609,53.894454,210,30,1,7,200,15
93,27.543186,53.897451,210,30,2,29,200,25
94,27.552815,53.89888,210,30,1,152,100,15
95,27.552171,53.899419,210,30,1,332,100,15
96,27.548224,53.904867,210,30,2,107,100,15
97,27.53824,53.910338,211,40,2,92,100,35
98,27.589132,53.921488,210,30,1,212,200,15
99,27.589175,53.9217,210,30,1,32,200,15
100,27.591133,53.923407,210,30,1,211,200,15
101,27.591037,53.923442,210,30,1,33,200,15
102,27.595156,53.927229,210,30,1,32,150,15
103,27.595301,53.927184,210,30,1,212,150,15
104,27.595924,53.930812,210,30,2,122,100,20
105,27.603541,53.928568,210,30,1,303,150,15
106,27.604045,53.92841,210,30,1,134,150,15
107,27.607312,53.92544,210,30,2,155,200,15
108,27.608219,53.924208,210,30,2,154,150,15
109,27.60441,53.926747,210,30,1,236,150,15
110,27.604694,53.92695,210,30,1,57,150,15
111,27.607827,53.928128,210,30,2,55,200,15
112,27.576263,53.938523,210,30,1,134,200,15
113,27.575105,53.941438,210,20,2,325,50,20
114,27.56649,53.867976,210,20,2,172,150,20
115,27.565835,53.934401,210,30,2,180,200,15
116,27.616024,53.96043,210,30,1,44,150,15
117,27.616067,53.96037,210,30,1,256,150,15
118,27.613009,53.960063,210,30,2,82,150,15
119,27.60589,53.957877,210,30,2,50,200,15
120,27.614415,53.956678,210,30,2,90,200,15
121,27.596841,53.950549,210,30,2,175,200,15
122,27.602034,53.949417,210,30,1,86,200,15
123,27.60426,53.949505,210,30,1,86,200,15
124,27.601835,53.949347,210,30,1,265,300,15
125,27.604002,53.949375,210,30,1,266,200,15
126,27.610848,53.949758,210,30,1,86,300,15
127,27.610617,53.949632,210,30,1,266,300,15
128,27.622097,53.948353,210,30,2,115,300,15
129,27.621474,53.953751,210,30,2,118,100,15
130,27.594913,53.970511,202,60,1,15,136,36
130,27.594913,53.970511,222,60,1,195,136,36
131,27.435035,53.942542,202,60,1,307,250,28
131,27.435035,53.942542,222,60,1,127,250,28
132,27.464717,53.838224,202,80,1,208,500,15
132,27.464717,53.838224,222,80,1,28,500,15
133,27.693893,53.961013,202,60,1,282,500,15
133,27.693893,53.961013,222,60,1,102,500,15
134,28.658443,55.52477,210,40,1,137,200,20
135,27.706393,53.842731,210,30,1,191,200,15
136,27.706339,53.843105,210,30,1,14,200,15
137,27.703352,53.841074,210,30,2,108,130,20
138,27.697601,53.849862,210,30,2,68,100,20
139,28.653888,55.60715,211,90,2,159,500,20
140,27.581579,53.905985,210,30,1,232,125,15
141,27.581858,53.908681,210,30,1,307,300,15
142,27.5821,53.90876,210,30,1,116,300,15
143,27.601272,53.904718,210,30,2,40,200,15
144,27.608664,53.899389,210,40,2,56,300,15
145,27.598043,53.915645,210,40,1,325,300,15
146,27.707633,53.841741,210,40,2,164,150,20
147,27.723548,53.956966,203,80,1,236,500,15
148,27.665612,53.864253,203,60,1,295,500,15
149,27.633791,53.851751,203,60,1,190,500,15
150,27.433465,53.856902,210,30,2,228,150,30
151,27.428329,53.891731,210,30,2,16,200,40
152,27.44417,53.883171,210,30,2,242,200,25
153,27.45676,53.862852,210,10,1,315,200,15
154,27.470015,53.858712,210,20,2,285,200,15
155,27.472912,53.845811,210,40,1,194,200,15
156,27.47295,53.837971,210,20,1,43,200,15
157,27.480264,53.892944,210,10,2,96,200,15
158,27.480287,53.912277,210,30,2,354,250,15
159,27.479917,53.927032,210,30,2,230,150,15
160,27.47782,53.924158,210,20,1,279,200,15
161,27.47789,53.924323,210,20,1,105,200,15
162,27.478419,53.840939,210,30,1,103,200,15
163,27.47851,53.929632,210,40,1,281,150,15
164,27.478727,53.929612,210,20,1,105,200,15
165,27.478936,53.842881,210,40,2,281,200,15
166,27.479601,53.916889,210,30,1,356,250,15
167,27.47965,53.916516,210,30,1,177,200,15
168,27.480452,53.888016,210,20,2,175,200,15
169,27.480925,53.886338,210,20,2,170,200,15
170,27.48133,53.895777,210,30,2,182,250,15
171,27.481458,53.897824,210,30,2,183,200,15
172,27.481649,53.900311,210,30,2,183,200,15
173,27.481758,53.927933,210,30,2,50,150,15
174,27.48215,53.915044,210,30,2,85,300,15
175,27.482581,53.892817,210,10,2,95,150,15
176,27.48259,53.890855,210,30,2,219,200,20
177,27.48304,53.843669,210,20,2,45,200,15
178,27.484263,53.87684,210,40,2,103,250,15
179,27.484828,53.902253,210,20,2,85,250,15
180,27.484832,53.928461,210,30,2,103,150,20
181,27.485122,53.847476,210,40,1,308,250,20
182,27.48532,53.847473,210,40,1,132,200,15
183,27.485891,53.850413,210,30,2,229,250,15
184,27.486677,53.85122,210,20,1,343,200,20
185,27.486994,53.913212,210,30,1,354,250,15
186,27.487214,53.85102,210,20,1,232,150,15
187,27.487235,53.911865,210,30,1,355,150,15
188,27.487254,53.85111,210,30,1,52,250,15
189,27.487499,53.917182,210,30,2,178,150,20
190,27.487519,53.910105,210,30,1,355,200,15
191,27.487648,53.909309,210,30,1,355,150,15
192,27.48768,53.918463,210,30,2,15,150,15
193,27.487793,53.876385,210,40,2,103,250,15
194,27.488115,53.913199,210,30,1,175,150,15
195,27.488362,53.911696,210,30,1,173,150,15
196,27.488388,53.919849,210,30,2,20,150,15
197,27.488536,53.910709,210,30,1,175,200,15
198,27.488584,53.843612,210,30,2,57,250,15
199,27.488643,53.928066,210,30,2,100,150,15
200,27.489106,53.904493,210,30,2,354,250,15
201,27.490045,53.899855,210,30,2,352,250,15
202,27.490277,53.920203,210,30,2,61,100,30
203,27.490467,53.906566,210,30,2,288,200,25
204,27.49062,53.897622,210,30,2,352,250,15
205,27.490727,53.897195,210,30,2,352,200,20
206,27.490792,53.915565,210,20,1,86,250,15
207,27.490818,53.915369,210,20,1,268,250,15
208,27.490949,53.895916,210,20,2,178,200,25
209,27.491173,53.84451,210,30,1,239,200,15
210,27.491423,53.844589,210,30,1,55,200,20
211,27.500056,53.885315,210,20,2,10,100,15
212,27.500883,53.903353,210,30,2,262,250,15
213,27.501037,53.845554,210,30,2,116,200,15
214,27.501249,53.8768,210,30,2,231,200,15
215,27.501553,53.92685,210,30,2,107,150,25
216,27.503433,53.903984,210,30,2,338,250,20
217,27.504198,53.915379,210,30,2,325,250,15
218,27.504574,53.902081,210,30,2,156,200,15
219,27.50505,53.891644,210,40,2,73,200,15
220,27.505281,53.901161,210,20,2,154,150,15
221,27.505426,53.88982,210,40,2,97,250,15
222,27.505699,53.885191,210,40,1,298,100,20
223,27.505957,53.885193,210,40,1,49,80,30
224,27.506354,53.899884,210,30,2,156,150,15
225,27.506556,53.912202,210,20,2,178,200,25
226,27.506837,53.885684,210,40,2,38,100,20
227,27.434476,53.921318,210,40,2,103,250,15
228,27.431086,53.901051,210,30,2,95,250,20
229,27.421505,53.925766,210,20,2,25,300,15
230,27.423076,53.927717,210,20,2,26,300,15
231,27.423629,53.906711,210,30,2,25,100,20
232,27.423136,53.899572,210,20,2,185,300,25
233,27.423109,53.894742,210,20,2,1,150,25
234,27.422143,53.892735,210,20,2,17,200,20
235,27.421376,53.903474,210,40,2,23,300,15
236,27.421424,53.891189,210,20,2,10,200,35
237,27.419354,53.917184,210,20,2,99,300,25
238,27.41833,53.921162,210,20,2,21,250,20
239,27.414044,53.905207,210,30,2,354,200,45
240,27.415717,53.906844,210,20,1,20,250,15
241,27.417053,53.906348,210,30,1,120,200,20
242,27.426467,53.892687,210,30,2,142,150,30
243,27.427336,53.896032,210,20,2,89,200,25
244,27.42558,53.883003,210,30,1,209,150,40
245,27.42592,53.883165,210,20,1,37,150,35
246,27.424965,53.881181,210,40,2,348,100,35
247,27.424064,53.871103,210,20,2,343,300,20
248,27.421693,53.888881,210,30,2,164,200,25
249,27.418742,53.882134,210,30,1,139,200,30
250,27.418592,53.882253,210,30,1,342,250,15
251,27.428725,53.896022,210,20,2,93,200,20
252,27.429728,53.886168,210,30,2,343,250,20
253,27.43094,53.883767,210,30,2,343,250,15
254,27.433059,53.93666,210,30,2,34,150,15
255,27.431021,53.865315,210,30,2,73,250,25
256,27.429235,53.860786,210,30,2,165,200,15
257,27.428564,53.862229,210,30,2,344,200,15
258,27.430447,53.858538,210,30,2,342,200,20
259,27.432995,53.854997,210,30,2,151,200,20
260,27.434616,53.938036,210,30,2,34,150,25
261,27.434729,53.853316,210,40,2,146,200,20
262,27.435136,53.86589,210,30,1,262,200,35
263,27.435185,53.865905,210,30,1,105,130,35
264,27.435713,53.881701,210,30,2,78,250,25
265,27.437043,53.865551,210,30,1,125,200,25
266,27.437083,53.865584,210,30,1,288,150,25
267,27.437373,53.93359,210,30,2,116,250,20
268,27.437585,53.937995,210,40,2,360,150,20
269,27.437652,53.936276,210,40,2,360,150,20
270,27.43857,53.883988,210,20,2,163,200,25
271,27.438752,53.934965,210,40,2,111,150,35
272,27.439181,53.900615,210,30,2,94,200,25
273,27.439429,53.887982,210,30,1,226,200,25
274,27.439438,53.887983,210,30,1,53,200,15
275,27.440062,53.864269,210,30,2,127,200,25
276,27.440179,53.880561,210,30,1,344,200,15
277,27.440243,53.880523,210,30,1,139,200,45
278,27.44124,53.849087,210,30,2,128,200,20
279,27.441337,53.882469,210,30,2,72,200,30
280,27.441842,53.934305,210,40,2,110,150,25
281,27.44204,53.932289,210,30,2,115,200,25
282,27.442866,53.879661,210,30,2,102,150,20
283,27.443122,53.848236,210,20,2,126,150,20
284,27.443272,53.852178,210,40,2,44,150,15
285,27.443625,53.923229,210,30,2,120,200,20
286,27.443708,53.858897,210,40,2,1,200,20
287,27.444524,53.904777,210,30,1,94,200,15
288,27.444532,53.893155,210,30,2,110,150,25
289,27.444609,53.904774,210,30,1,271,200,15
290,27.445731,53.879191,210,40,2,298,150,30
291,27.445855,53.886031,210,10,2,142,200,15
292,27.445865,53.883783,210,10,2,56,150,20
293,27.446051,53.926005,210,20,2,298,200,20
294,27.446616,53.932097,210,30,1,321,150,20
295,27.446803,53.851283,210,40,1,251,150,30
296,27.446825,53.851335,210,30,1,44,150,15
297,27.447182,53.846736,210,20,2,117,200,20
298,27.447185,53.899823,210,20,2,111,150,35
299,27.447855,53.891907,210,40,2,107,150,25
300,27.448075,53.912475,210,30,1,232,150,15
301,27.448316,53.912487,210,30,1,92,70,20
302,27.448606,53.921517,210,20,1,148,200,35
303,27.448788,53.904573,210,30,2,94,150,15
304,27.448903,53.93162,210,30,2,289,150,15
305,27.449223,53.912478,210,30,2,91,100,20
306,27.449428,53.852758,210,10,2,312,200,20
307,27.449593,53.919872,210,20,2,178,150,35
308,27.449626,53.922602,210,20,2,30,150,15
309,27.449974,53.914599,210,40,2,171,150,25
310,27.450494,53.878579,210,20,2,43,150,35
311,27.45072,53.912636,210,30,2,164,100,25
312,27.451137,53.91179,210,30,2,161,150,25
313,27.451218,53.898861,210,30,2,105,150,25
314,27.451565,53.863937,210,30,2,60,200,35
315,27.451572,53.904417,210,30,1,276,150,15
316,27.451776,53.904401,210,30,1,95,150,15
317,27.451816,53.931118,210,30,2,281,150,40
318,27.452149,53.845565,210,20,2,105,200,20
319,27.452418,53.859046,210,20,2,130,150,20
320,27.452705,53.896576,210,20,2,5,150,20
321,27.452769,53.880727,210,20,2,37,100,25
322,27.453016,53.902943,210,30,1,359,150,15
323,27.453082,53.900518,210,30,2,182,150,25
324,27.453192,53.908595,210,30,2,160,150,25
325,27.453639,53.907861,210,30,1,340,150,25
326,27.453723,53.875917,210,20,1,290,150,25
327,27.453834,53.907495,210,30,1,172,150,20
328,27.453863,53.875986,210,20,1,132,150,25
329,27.455333,53.874788,210,30,1,323,150,25
330,27.455494,53.874797,210,30,1,157,50,35
331,27.455609,53.847549,210,30,2,7,150,25
332,27.45583,53.853289,210,30,2,95,150,15
333,27.455947,53.923757,210,20,1,269,200,25
334,27.456202,53.920918,210,30,2,359,150,20
335,27.456103,53.904171,210,30,1,273,150,15
336,27.456137,53.919621,210,30,2,359,150,20
337,27.456249,53.849182,210,30,2,195,150,25
338,27.456273,53.923672,210,20,1,179,150,20
339,27.456281,53.87983,210,20,2,314,200,20
340,27.456716,53.931266,210,30,2,81,150,15
341,27.456773,53.867283,210,30,2,36,200,20
342,27.457151,53.862636,210,20,1,128,200,15
343,27.457661,53.904127,210,30,1,95,150,15
344,27.458199,53.898697,210,30,2,264,200,25
345,27.458349,53.844848,210,30,2,280,200,20
346,27.458357,53.851377,210,20,1,225,150,25
347,27.458407,53.851403,210,20,1,60,150,25
348,27.459679,53.8615,210,30,2,125,200,15
349,27.460022,53.858574,210,40,1,52,200,20
350,27.460064,53.858525,210,30,1,239,200,15
351,27.46127,53.937542,210,20,2,305,150,30
352,27.461561,53.876719,210,20,2,135,200,20
353,27.461972,53.868921,210,30,2,134,150,20
354,27.462325,53.851948,210,20,2,91,150,25
355,27.462387,53.859753,210,30,1,225,150,20
356,27.462848,53.873346,210,30,2,99,150,20
357,27.462923,53.894869,210,30,2,2,150,20
358,27.463043,53.855582,210,30,1,255,150,25
359,27.463059,53.855595,210,30,1,62,150,15
360,27.463154,53.897543,210,30,2,3,200,15
361,27.463392,53.849314,210,30,2,280,150,20
362,27.463948,53.844229,210,30,1,280,200,15
363,27.464073,53.844223,210,30,1,79,200,20
364,27.464635,53.872917,210,30,2,46,150,20
365,27.46499,53.849138,210,20,1,280,150,15
366,27.465258,53.849151,210,10,1,95,150,15
367,27.465515,53.852459,210,20,2,43,150,35
368,27.465556,53.856361,210,20,1,242,150,15
369,27.465568,53.856377,210,30,1,79,150,20
370,27.465881,53.893698,210,30,1,260,200,15
371,27.466142,53.893704,210,30,1,88,200,15
372,27.466432,53.862844,210,30,1,208,200,15
373,27.466534,53.859396,210,40,2,110,200,20
374,27.466534,53.862941,210,30,1,32,200,15
375,27.466711,53.844088,210,40,1,66,200,15
376,27.467659,53.900683,210,30,2,246,200,20
377,27.468079,53.864388,210,20,2,211,150,15
378,27.469597,53.854634,210,20,1,257,150,40
379,27.469662,53.854635,210,30,1,106,150,20
380,27.469712,53.846421,210,40,1,187,150,25
381,27.469758,53.846835,210,40,1,359,150,15
382,27.471726,53.867744,210,30,2,212,150,20
383,27.471775,53.918965,210,10,2,5,200,25
384,27.47183,53.879211,210,20,2,188,70,20
385,27.472923,53.84583,210,40,1,22,200,15
386,27.471973,53.858415,210,30,2,105,150,20
387,27.472518,53.91242,210,30,2,175,200,20
388,27.472783,53.910456,210,20,2,176,200,15
389,27.47282,53.86873,210,30,2,33,150,20
390,27.472858,53.837863,210,20,1,229,200,15
391,27.472865,53.854032,210,20,2,105,150,25
392,27.473051,53.923378,210,20,2,34,150,20
393,27.473167,53.905291,210,20,1,358,200,15
394,27.473298,53.905236,210,20,1,175,200,15
395,27.473486,53.903199,210,20,1,355,200,15
396,27.473679,53.90296,210,20,1,173,150,15
397,27.474444,53.922754,210,40,2,32,200,15
398,27.474468,53.870224,210,30,2,211,150,20
399,27.47516,53.9255,210,10,2,29,150,20
400,27.475777,53.839815,210,20,2,42,150,15
401,27.476125,53.843229,210,40,2,104,150,20
402,27.476176,53.859702,210,10,1,215,150,15
403,27.476992,53.929781,210,30,2,99,150,15
404,27.477386,53.928045,210,20,2,26,150,20
405,27.477442,53.860818,210,30,1,215,150,15
406,27.492382,53.840325,210,30,2,100,150,15
407,27.493232,53.902751,210,30,2,265,200,15
408,27.49371,53.922401,210,30,1,209,100,25
409,27.494595,53.933808,210,30,2,46,200,25
410,27.49475,53.925464,210,30,2,178,100,20
411,27.495373,53.927481,210,30,2,99,150,20
412,27.496239,53.839905,210,20,2,99,150,15
413,27.496982,53.846649,210,30,2,292,120,25
414,27.497412,53.925852,210,30,2,291,150,30
415,27.49754,53.927295,210,30,2,99,150,20
416,27.499257,53.882368,210,30,2,9,200,15
417,27.510137,53.892516,210,30,2,255,200,20
418,27.51137,53.91257,210,40,2,281,150,20
419,27.726124,53.838206,207,80,1,130,300,15
420,27.676084,53.9337,193,90,1,166,600,15
421,27.684796,53.862953,101,90,1,31,500,15
421,27.684796,53.862953,10190,90,1,31,500,15
422,27.508919,53.889558,210,40,2,98,150,20
423,27.508956,53.889013,210,40,2,9,100,20
424,27.51203,53.895385,210,40,2,75,200,15
425,27.512094,53.847979,210,20,2,4,150,25
426,27.512571,53.905855,210,30,2,163,200,15
427,27.513108,53.91239,210,40,2,280,150,15
428,27.514266,53.903045,210,30,1,339,150,20
429,27.514415,53.872259,210,30,1,48,150,15
430,27.51454,53.870717,210,40,2,48,150,15
431,27.514813,53.869474,210,30,2,315,150,15
432,27.514927,53.870133,210,30,2,49,150,15
433,27.516938,53.884771,210,20,2,148,200,15
434,27.518132,53.893903,210,40,1,255,200,20
435,27.518706,53.894013,210,40,1,72,200,20
436,27.519296,53.874889,210,20,2,227,100,20
437,27.5199,53.881857,210,30,1,330,200,15
438,27.520052,53.853362,210,40,2,356,150,30
439,27.520161,53.85407,210,30,2,186,150,25
440,27.520677,53.855724,210,40,2,16,150,25
441,27.520058,53.881686,210,30,1,146,150,20
442,27.520891,53.906762,210,40,2,122,150,25
443,27.521575,53.9029,210,30,2,58,200,25
444,27.522232,53.897536,210,20,2,62,150,20
445,27.522296,53.885293,210,30,2,232,150,20
446,27.5228,53.884571,210,30,2,327,150,20
447,27.52337,53.887822,210,30,2,137,150,20
448,27.523517,53.859031,210,30,2,209,150,20
449,27.523983,53.895248,210,30,2,244,200,20
450,27.528799,53.894319,210,40,2,151,100,20
451,27.529528,53.904646,210,30,1,81,150,20
452,27.529783,53.918193,210,40,1,265,150,15
453,27.530048,53.917985,210,40,1,150,150,15
454,27.530399,53.874149,210,30,2,304,100,20
455,27.530517,53.860767,210,20,2,353,150,20
456,27.53128,53.916858,210,20,2,149,150,20
457,27.531298,53.904811,210,30,1,85,150,15
458,27.535274,53.886546,210,30,2,19,150,15
459,27.536776,53.936073,210,30,2,72,100,20
460,27.541205,53.886141,210,30,1,54,200,15
461,27.541239,53.88602,210,30,1,242,200,15
462,27.543004,53.876202,210,20,2,5,150,15
463,27.543261,53.958911,210,30,2,89,150,25
464,27.543481,53.884989,210,20,1,242,200,15
465,27.543679,53.885058,210,20,1,67,200,25
466,27.54545,53.925817,210,20,1,154,150,15
467,27.54582,53.929051,210,10,2,74,100,15
468,27.546018,53.935203,210,30,2,342,150,20
469,27.546287,53.8506,210,20,2,221,150,30
470,27.546531,53.924391,210,20,1,334,190,15
471,27.547534,53.837895,210,30,2,359,100,15
472,27.548835,53.851631,210,30,1,250,150,25
473,27.54891,53.851637,210,30,1,90,150,25
474,27.549162,53.876027,210,30,2,188,150,20
475,27.549949,53.879379,210,20,2,187,100,15
476,27.55023,53.92485,210,30,2,170,150,15
477,27.55081,53.883029,210,20,2,7,150,20
478,27.550921,53.845925,210,30,2,34,100,15
479,27.55105,53.848701,210,20,2,215,150,15
480,27.551147,53.884372,210,20,2,188,150,20
481,27.551163,53.960372,210,40,1,264,150,15
482,27.551485,53.879177,210,40,2,95,100,20
483,27.552702,53.924326,210,30,2,178,100,15
484,27.553227,53.940263,210,30,2,253,150,20
485,27.553818,53.929067,210,10,2,92,150,15
486,27.553924,53.92609,210,30,2,273,150,20
487,27.554641,53.934515,210,30,2,213,100,30
488,27.555006,53.864987,210,30,2,6,100,35
489,27.555685,53.929031,210,30,2,271,100,20
490,27.555776,53.924215,210,30,1,2,150,15
491,27.555814,53.925375,210,10,1,2,100,15
492,27.55585,53.877443,210,30,1,274,150,20
493,27.555862,53.926101,210,40,1,1,150,15
494,27.555953,53.928713,210,30,1,2,50,25
495,27.556147,53.924188,210,30,1,181,100,20
496,27.556201,53.925925,210,30,1,181,150,15
497,27.556307,53.927946,210,30,1,181,150,15
498,27.556313,53.879432,210,30,2,185,150,25
499,27.55646,53.87742,210,30,1,93,150,20
500,27.556543,53.897853,210,40,1,328,100,20
501,27.557333,53.897583,210,40,1,150,100,15
502,27.557573,53.919418,210,30,1,196,200,15
503,27.558276,53.928988,210,20,2,91,100,20
504,27.558914,53.924708,210,20,2,37,150,15
505,27.559129,53.846216,210,30,2,178,100,25
506,27.559151,53.845584,210,30,2,177,100,25
507,27.559885,53.877296,210,30,2,95,150,20
508,27.560499,53.940706,210,30,2,91,150,15
509,27.560845,53.926261,210,30,2,210,150,25
510,27.560931,53.841824,210,20,2,153,100,20
511,27.56157,53.841111,210,20,2,331,100,20
512,27.562041,53.933616,210,30,2,1,150,20
513,27.562144,53.937749,210,20,2,1,150,20
514,27.562177,53.939491,210,30,2,181,150,20
515,27.563195,53.839412,210,30,2,148,150,15
516,27.56356,53.845933,210,40,1,269,200,15
517,27.563839,53.928922,210,20,1,271,150,15
518,27.564015,53.847883,210,30,2,359,150,20
519,27.564021,53.863518,210,20,1,83,150,20
520,27.564062,53.876625,210,20,2,189,100,20
521,27.56421,53.877296,210,10,2,186,100,20
522,27.564247,53.928944,210,20,1,92,100,20
523,27.564569,53.84594,210,40,1,88,200,15
524,27.564714,53.923405,210,20,2,37,150,20
525,27.565169,53.860778,210,30,2,83,150,20
526,27.56595,53.870365,210,30,2,352,150,20
527,27.566917,53.866013,210,30,2,172,150,20
528,27.567182,53.864876,210,20,2,173,150,20
529,27.567312,53.840906,210,40,2,85,150,25
530,27.567733,53.910674,210,20,2,130,140,20
531,27.567882,53.861546,210,30,2,352,150,20
532,27.5681,53.860458,210,30,2,353,100,20
533,27.568989,53.863793,210,20,2,85,150,20
534,27.569552,53.868222,210,20,1,264,150,20
535,27.569767,53.841232,210,30,2,62,150,30
536,27.571196,53.943073,210,20,2,237,150,15
537,27.573162,53.8608,210,20,2,80,100,20
538,27.573925,53.906349,210,30,2,323,100,20
539,27.574148,53.907339,210,30,1,51,100,20
540,27.574164,53.925828,210,10,2,312,100,25
541,27.57506,53.938981,210,30,1,285,200,20
542,27.575183,53.94518,210,40,2,15,100,20
543,27.57569,53.94623,210,40,2,16,100,20
544,27.575716,53.941116,210,30,1,96,100,15
545,27.57597,53.94682,210,30,2,15,100,20
546,27.576285,53.848771,210,30,2,300,200,35
547,27.576901,53.923192,210,20,2,150,100,20
548,27.57691,53.903596,210,30,2,147,100,20
549,27.576967,53.943168,210,30,2,185,150,15
550,27.577161,53.942104,210,20,2,186,150,15
551,27.577797,53.946874,210,40,2,95,100,15
552,27.578016,53.871284,210,30,2,259,150,20
553,27.578086,53.872272,210,20,1,168,100,20
554,27.578348,53.945008,210,30,2,277,150,20
555,27.581091,53.912089,210,30,1,137,150,15
556,27.581124,53.819462,210,30,2,160,150,15
557,27.581878,53.90092,210,20,2,50,150,20
558,27.582798,53.922782,210,30,2,32,150,20
559,27.583081,53.910895,210,40,2,313,150,20
560,27.584234,53.924193,210,20,2,30,150,20
561,27.58465,53.94874,210,40,2,87,150,20
562,27.584684,53.887619,210,30,2,294,150,20
563,27.584827,53.944545,210,20,1,277,150,15
